Size_Class_Description,id,Street,Establishment_Name,Tel_No,Ward_Name,Mobile_No,ISICLev4,ISICLev4_Description,CPC_Description,CPC_Code,Year_Started,Postal_Address,District_Name,Manufacturing_Classification,Ownership_Description,Subsector,Region_Name,Zone_Name,Employment
Micro,1038,SABASABA,KULWA HUSEIN GOGO,714576070,Viwandani,Missing,1410,"Manufacture of wearing apparel, except fur apparel","Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",28210,1998.0,Missing,Dodoma Mjini,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Micro,1039,CHANG'OMBE,KULWA TAILORING MART,752761020,Mtumba,Missing,1410,"Manufacture of wearing apparel, except fur apparel","Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",28210,2009.0,Missing,Dodoma Mjini,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Micro,1040,KARUME,KUNJIRAR SUNFLOWER,Missing,Kibaigwa,Missing,1040,Manufacture of vegetable and animal oils and fats,Vegetable and animal oil and fat manufacturing services,88140,2012.0,69,Kongwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,1041,SOKONI MAJENGO,KURURHUMU KIDASI MBWANA,Missing,Majengo,Missing,1399,Manufacture of other textiles n.e.c.,Other textile manufacturing services n.e.c.,88219,2012.0,1466,Dodoma Mjini,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Small,1042,MAKRANI SOKONI,KURUTHUMA NKALANGA,784719033,Kondoa Mjini,Missing,1410,"Manufacture of wearing apparel, except fur apparel","Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",28210,2002.0,27,Kondoa ,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,5
Micro,1043,MAZENGO,KWA MSALALI MASHINE YA MCHELE,762898853,Majengo,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,1998.0,46,Dodoma Mjini,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Small,1044,NKUHUNGU SALAMA,KWA SWAI MAFUNDI,752288718,Kizota,Missing,1622,Manufacture of buildersÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â‚¬Å¾Ã‚Â¢ carpentry and joinery,"Prefabricated buildings, of wood",38701,2008.0,Missing,Dodoma Mjini,Wood and Woods Products,Private,Manufacturing,Dodoma,Central zone,5
Micro,1045,NDUKA/CHAMWINO,KWAYU OIL MILL,656688626,Chamwino,Missing,1040,Manufacture of vegetable and animal oils and fats,Vegetable and animal oil and fat manufacturing services,88140,2010.0,Missing,Dodoma Mjini,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,1046,MAJENGO,KWEKA MILLING MACHINE,765036462,Kibaigwa,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2011.0,Missing,Kongwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,1047,MAJENGO,KWEMBE,754307977,Kibaigwa,Missing,1040,Manufacture of vegetable and animal oils and fats,Vegetable and animal oil and fat manufacturing services,88140,2013.0,Missing,Kongwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
